157244,A
283361,A
294917,A
302233,A
304317,A
305467,A
312443,A
312531,A
312904,A
312986,A
313023,A
313605,A
319015,A
320372,A
321221,A
323045,A
323046,A
323156,A
324429,A
324903,A
324969,A
328285,A
329369,A
329807,A
331430,A
331582,A
333750,A
333768,A
336802,A
339518,A
339536,A
342343,A
342388,A
342478,A
342528,A
342576,A
342686,A
342750,A
342783,A
342789,A
322476,A
343053,B
343322,B
343331,B
343486,B
343490,B
343536,B
343550,B
343631,B
343735,B
343918,B
343920,B
343949,B
344054,B
344094,B
344445,B
344465,B
344544,B
344574,B
344668,B
344694,B
345083,B
345120,B
345124,B
345213,B
345237,B
345342,B
345350,B
345364,B
345506,B
345860,B
345922,B
345950,B
346062,B
346216,B
346272,B
346402,B
346618,B
346877,B
347003,B
347021,B
347022,C
347129,C
347272,C
347474,C
347502,C
347503,C
347515,C
347609,C
347640,C
347654,C
347861,C
348122,C
348157,C
348253,C
348261,C
348542,C
348561,C
348774,C
348875,C
348882,C
348900,C
348967,C
349128,C
349277,C
349776,C
349815,C
349847,C
351101,C
351544,C
351941,C
354223,C
357412,C
358702,C
360588,C
361770,C
362213,C
362458,C
362489,C
363623,C
